,premise_emotion,premise_motivation,premise_consequence,premise_rot,hypothesis_emotion,hypothesis_motivation,hypothesis_consequence,hypothesis_rot
20,I (myself)'s emotion is sad.,.,[immoral_consequence] The couples are unable to get married and have to go to the hospital.,It's okay to be bitter about seeing happy couples everywhere.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be happy.,[immoral_consequence] The couples are all so happy and lonely that they are all happy.,It's good to be happy.
21,.,.,[immoral_consequence] The man who ty is unable to get a proper mental exam is hurt.,It's good to be aware of your mental abilities.,.,.,"[immoral_consequence] The man who ty is ty's finger is hurt, and he is arrested.",It's okay to be upset if someone is pointing out you're not all there.
22,I (myself)'s emotion is sad.,Friend's motivation is to be helpful.,[immoral_consequence] I have to wait to hear from my friend for a while.,It's good to be honest with your friends.,I (myself)'s emotion is scared.,I (myself)'s motivation is to be safe.,[immoral_consequence] I am unable to find out what happened and amused by the lack of communication.,It's okay to be scared of your friend's problems.
23,.,.,[immoral_consequence] The police found out the news and arrested the man.,It's good to keep secrets secret.,.,.,[immoral_consequence] The police arrest the man for breaking the news.,It's good to keep secrets.
24,.,.,[immoral_consequence] The galaxies were jellyfishes and were thrown out of the house.,It's good to be aware of your surroundings.,.,.,[immoral_consequence] The galaxies were a sandfish and sandfishes that were sandfishes.,It's good to be aware of your surroundings.
25,Young man's emotion is angry.,Young man's motivation is to be safe.,[immoral_consequence] The young man is arrested for assault.,It's good to be aware of your surroundings.,Young man's emotion is happy.,Young man's motivation is to be loved.,[immoral_consequence] The young man is arrested for a gunshot wound.,It's good to be a sexy person.
26,I (myself)'s emotion is sad.,.,[immoral_consequence] The tax cuts will make us feel bad.,It's good to help people out.,.,Tax cut's motivation is to be helpful.,[immoral_consequence] The economy will be ruined by the tax cut.,It's good to help out your neighbors.
27,.,.,[immoral_consequence] The other people in the room were hurt by the sex they had.,It's good to stay in a room that makes you feel like a sailor.,.,.,[immoral_consequence] The other people in the room were upset and resentful of the situation.,It's good to stay in a room that makes you feel like a sitting duck.
28,I (myself)'s emotion is irritated.,.,[moral_consequence] You both have a good time and are able to relax.,It's good to be prepared for your needs.,I (myself)'s emotion is sad.,.,[immoral_consequence] You both feel like a half-blink.,It's good to be honest with others.
29,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be respectful.,[moral_consequence] I feel a little bit less remorseful.,It's good to disagree with people.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be different.,[moral_consequence] I beg to be different.,It's wrong to beg someone to differ.
30,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I'm unable to pay for the laptop and is unable to pay for it.,It's good to have a laptop.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be able to work.,[immoral_consequence] I am unable to pay for the laptop that I wanted.,It's good to be disappointed when you missed a sale on something.
31,.,Polittician's motivation is to be a good politician.,[immoral_consequence] The politician's rival reacted badly to the flirting.,It's good to flirt with your rival.,.,Politiker's motivation is to be a good politician.,[immoral_consequence] The politician's rival is hurt and angry at him.,It's good to be a politician.
32,.,.,[immoral_consequence] The girl was unable to find a new girlfriend.,It's good to look happy.,.,.,[moral_consequence] The weather was a good day for everyone.,It's good to look happy when a storm hits.
33,.,.,[immoral_consequence] The star slowed down and slowed down.,It's good to be careful when you're a star.,.,.,[immoral_consequence] The star screamed and screamed at him.,It's good to be aware of your surroundings.
34,I (myself)'s emotion is sad.,I (myself)'s motivation is to be pregnant.,[immoral_consequence] I didn't get pregnant and didn't get pregnant.,It's good to get pregnant.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a liar.,[immoral_consequence] I feel terrible that month after month trying to conceive.,It's okay to feel terrible when you're a child.
35,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good friend.,[immoral_consequence] I was unable to sleep and slept on the couch.,It's good to be able to sleep on your date.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good friend.,[immoral_consequence] I feel terrible that I dozed off during my date.,It's okay to feel terrible when you dozed off.
36,I (myself)'s emotion is happy.,I (myself)'s motivation is to have fun.,[immoral_consequence] I was unable to get to the park with my friends.,It's good to have fun.,I (myself)'s emotion is lonely.,I (myself)'s motivation is to have fun.,[immoral_consequence] I was unable to get to the park with my friends.,It's good to go to the park with your friends.
37,Jack's emotion is happy.,Jack's motivation is to be helpful.,[moral_consequence] Jack's friends were happy to see him.,It's good to be excited about something.,Jack's emotion is happy.,Jack's motivation is to be loved.,[immoral_consequence] Jack's parents are upset that he didn't like christmas.,It's good to nod like a child.
38,.,.,[moral_consequence] The woman was calm.,It's good to be calm.,Coyotes' emotion is happy.,.,[immoral_consequence] The coyotes were a bit irritated and irritated by the smell of the coyotes.,It's good to be able to control your pet's health.
39,.,.,[immoral_consequence] The temperature was stifled and the temperature was stifled.,It's good to be careful when you're hot.,.,.,[immoral_consequence] The sprinkler was a welcome hop and was a bit irritated by the smell.,It's good to welcome people.
40,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a pet owner.,[immoral_consequence] The pet is ruined and ruined by the loss of a pet.,It's okay to be upset when your family pet isn't working.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] My family pet is unable to live with it for a long time.,It's okay to be frustrated when your family pet isn't working.
41,I (myself)'s emotion is sad.,Family's motivation is to be helpful.,"[immoral_consequence] Half of my family didn't show up for my kids, and they didn't get to see them.",It's good to show up for your kids.,I (myself)'s emotion is happy.,Family's motivation is to be helpful.,"[immoral_consequence] My family's feelings are hurt, and they don't get to see me for the next time.",It's good to show up for your kids' birthday party.
42,Milton's emotion is happy.,Milton's motivation is to be helpful.,[moral_consequence] Milton's computer was able to be able to control his computer.,It's good to be able to control your computer.,Milton's emotion is irritated.,Milton's motivation is to be understood.,[immoral_consequence] Milton's computer was unable to be able to read the information and was later arrested.,It's good to be able to control your computer.
43,.,.,[immoral_consequence] The other people in the house were unable to find the clothes they needed.,It's good to be careful when wearing dark clothes.,.,.,[immoral_consequence] The other people in the house were unable to find his clothes.,It's good to wear dark clothes.
44,.,.,[immoral_consequence] The people at the games are hurt by the sexistness of the game.,It's good to be honest with people about things.,.,.,[immoral_consequence] The children are unable to play the games themselves.,It's good to be a parent.
45,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I feel bad for being around negative people.,It's okay to be upset when you hate being around negative people.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I feel a lot of pain and frustration from being around negative people and situations.,It's good to be around negative people.
46,I (myself)'s emotion is happy.,I (myself)'s motivation is to exercise.,[immoral_consequence] The bike is a bit crowded and has to be reconditioned.,It's good to buy a bike that sits in the corner.,.,.,[immoral_consequence] The other bike owners are unable to get the bike back and are unable to get it back.,It's good to get exercise bikes.
47,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I can't walk and can't get to the doctor.,It's good to be aware of your problems.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I am so sad that I can't walk and feel like a jerk.,It's good to be sorry for someone who is in a car accident.
48,.,.,[immoral_consequence] The cake was soaked with dryness.,It's good to make a cake.,.,.,"[immoral_consequence] The desert was so moist and dry, and the cake was ruined.",It's good to make a cake for yourself.
49,Buzz's emotion is sad.,Buzz's motivation is to be helpful.,[immoral_consequence] Buzz's boss scolds Buzz for not being able to handle the paperwork.,It's good to take care of your finances.,Buzz's emotion is happy.,Buzz's motivation is to be helpful.,[immoral_consequence] Buzz's friends are upset that he didn't get the paperwork they needed.,It's good to take care of your finances.
50,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be safe.,[immoral_consequence] I can't get my money under control.,It's good to be able to control your finances.,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be a good person.,[immoral_consequence] I'm not able to get my finances under control.,It's good to be honest with your financial situation.
51,I (myself)'s emotion is sad.,Older woman's motivation is to be helpful.,[immoral_consequence] The older woman in the class is unable to get the paper and is unable to get the paper.,It's wrong to steal things from others.,I (myself)'s emotion is sad.,.,[immoral_consequence] The older woman in my class is unable to get the paper and is unable to get the paper.,It's wrong to steal things from others.
52,.,.,[immoral_consequence] The world's most powerful technology is unable to be able to be able to be able to be able to be able to do so.,It's understandable to be upset when a global catastrophe causes you to lose your valuables.,.,.,[immoral_consequence] The world's most powerful technology is destroyed by the disaster.,It's understandable to be upset when you're causing a global catastrophe.
53,Best friend's emotion is happy.,Best friend's motivation is to be helpful.,[immoral_consequence] My friend's friend is upset with me for getting a Lamborghini.,It's good to get a good gift for your friends.,Best friend's emotion is happy.,Best friend's motivation is to be loved.,[moral_consequence] I'm happy to have a beautiful Lamborghini while driving.,It's good to have a friend that is a good friend.
54,I (myself)'s emotion is guilty.,I (myself)'s motivation is to be responsible.,[immoral_consequence] The dog is irritated and irritated by the food.,It's wrong to blame your kids on your pets.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The dog is a bit sick and eats all of the cookies.,It's good to be proud of your kids.
55,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a journalist.,[immoral_consequence] The country is devastated and is unable to get to know anyone.,It's wrong to be angry with media.,.,.,[immoral_consequence] The media is unable to control their country and are unable to control their media.,It's good to be honest with people.
56,.,.,[immoral_consequence] The baby eater of Bromsgrove had been sent down for life and had to be taken to the hospital.,It's good to be aware of your mistakes.,.,.,[immoral_consequence] The baby eater of Bromsgrove had to be taken to the hospital.,It's good to be aware of your health.
57,I (myself)'s emotion is happy.,I (myself)'s motivation is to exercise.,[immoral_consequence] The bike is a bit crowded and has to be reconditioned.,It's good to buy a bike that sits in the corner.,I (myself)'s emotion is embarrassed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The owner of the bike is unable to get the bike back and is very upset.,It's good to get exercise bikes.
58,.,.,[moral_consequence] The government is able to make a bold decision and become more democratic.,It's good to be brave.,.,.,[immoral_consequence] The government is unable to control the government.,It's good to be brave.
59,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be safe.,[immoral_consequence] The other person in traffic is very upset and is very upset.,It's understandable to be unhappy when someone is in traffic.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] Someone is hurt by the lack of kindness and isn't able to express my gratitude.,It's good to be grateful for your actions.
60,.,.,[moral_consequence] The carriage was able to move safely.,It's good to move your car.,.,.,[immoral_consequence] The carriage was put in motion and the other passengers were unable to pay for the carriage.,It's good to be able to carry things in your life.
61,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The other guests at the hotel are upset and upset.,It's good to give your room to someone else.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be a good hotel.,[immoral_consequence] The hotel's manager is unable to help the hotel.,It's wrong to lie to others.
62,.,.,[immoral_consequence] The man who knew Metcalfe was thre worst was thre worst.,It's good to know that things are thre worst.,.,.,[immoral_consequence] The man who metcalfe was spotted was a racist and scolded.,It's good to know what is wrong with metcalfe.
63,I (myself)'s emotion is nervous.,I (myself)'s motivation is to be assertive.,[moral_consequence] I get a lot of confidence from the people who confront me.,It's good to be assertive.,I (myself)'s emotion is irritated.,I (myself)'s motivation is to be assertive.,[moral_consequence] I feel jittery when someone confronts me.,It's good to be assertive.
64,Ken's emotion is curious.,Ken's motivation is to be helpful.,[moral_consequence] Ken's boss is impressed by Ken's kindness and gives him a good answer.,It's good to ask people directly.,Ken's emotion is curious.,Ken's motivation is to be helpful.,[immoral_consequence] Ken's friends are annoyed by Ken's question.,It's good to ask people in a nudge nudge wink.
65,I (myself)'s emotion is proud.,.,"[moral_consequence] You're able to make sure that you're on stable ground, and you're able to make sure you're on the right path.",It's good to be committed to your goals.,I (myself)'s emotion is proud.,I (myself)'s motivation is to be helpful.,"[moral_consequence] You're able to get a lot of sobriety from your life, and you're able to get it done.",It's good to be on a stable ground.
66,.,.,"[immoral_consequence] The man's feelings are hurt, and he is unable to get help.",It's good to be grateful for your failures.,.,.,"[immoral_consequence] The man's feelings are hurt, and he is unable to get help.",It's good to be grateful for your failures.
67,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] Some people find it pathetic to rationalize others' behavior.,It's wrong to rationalize others' behavior.,People's emotion is sad.,Some people's motivation is to be honest.,[moral_consequence] Some people are able to avoid admitting they made a mistake and avoid making up excuses for others.,It's good to make up excuses for your mistakes.
68,.,.,[moral_consequence] The person who was a slight pinch was able to remember the moment.,It's good to remind yourself of things.,.,.,"[moral_consequence] The reminder was good, and the other people were able to get some relief.",It's good to remind yourself of things.
69,People's emotion is jealous.,People's motivation is to be helpful.,[immoral_consequence] People who have a washer and dryer are unable to get the dryer to work.,It's wrong to be jealous of people who have a washer and dryer.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good person.,[immoral_consequence] People who have a washer and dryer are unable to afford to buy a new washer and dryer.,It's good to be able to make your own home look nice.
70,.,.,[immoral_consequence] The other people in the group are hurt by the claim.,It's good to be prepared for a claim.,.,.,"[immoral_consequence] The claim slips through the net, and the other people are hurt.",It's good to be prepared for a claim.
71,New paper boy's emotion is angry.,New paper boy's motivation is to be helpful.,[immoral_consequence] The new paper boy is arrested for a crime.,It's wrong to break someone's window.,I (myself)'s emotion is annoyed.,New paper boy's motivation is to be helpful.,[immoral_consequence] The new paper boy's window is broken and the boy is angry.,It's good to be careful when you're a new student.
72,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a bride.,[immoral_consequence] I can't believe that I didn't fit into my old dress.,It's okay to be upset if you didn't fit into your old dress.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a bride.,[immoral_consequence] I was unable to fit into my old dress when I was married.,It's good to be happy about your failure to fit into your old dress.
73,.,.,.,It's okay to be sad when you're sad.,.,.,[immoral_consequence] The person who was depressed was so depressed that he was too depressed.,It's good to be depressed.
74,Berry's emotion is apprehensive.,Berry's motivation is to be understood.,[immoral_consequence] Berry is unable to find a new artist to perform his songs.,It's good to be a musician.,"Berry's emotion is elated, elated, remorseful.",Berry's motivation is to be a singer.,[immoral_consequence] Berry's songs are viewed as a sexist and a sexist sex.,It's good to be a musician.
75,The critics' emotion is proud.,The critics' motivation is to be helpful.,[moral_consequence] The critics praised the broadway production.,It's good to praise a production.,The critics' emotion is proud.,The critics' motivation is to be respectful.,[moral_consequence] The critics were able to express their appreciation for the production.,It's good to be proud of your work.
76,.,.,[immoral_consequence] The neighbors were angry at the move and resent him.,It's good to move slowly away from people.,.,.,[immoral_consequence] The squirrels were unable to move away from him.,It's good to move away from people.
77,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to get to know someone else.,It's good to get a new spell.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I am unable to play with someone else's voice.,It's good to play a game with someone you love.
78,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be heard.,[immoral_consequence] I get a lot of noise from the noises that I hear.,It's good to listen to your neighbors.,I (myself)'s emotion is relieved.,I (myself)'s motivation is to be safe.,[immoral_consequence] I am unable to sleep and feel a little better.,It's good to be comforted by the noises that come from your house.
79,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The worker was so sick that she didn't wash her hands and walked out of the pizza hut.,It's good to take care of your health.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] The worker at pizza hut was able to wash her hands without bothering to wash her hands.,It's good to be happy about the high sanitary standards of a worker.
80,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a joker.,[immoral_consequence] The people in the world are unable to vote for themselves.,It's wrong to joke about political issues.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a politician.,[immoral_consequence] The people in the world are unable to vote for themselves.,It's good to be honest with people.
81,.,.,[immoral_consequence] The other students are disappointed and don't agree with the book.,It's good to read books.,.,.,[immoral_consequence] The other readers are disappointed that they are not able to read the books.,It's good to read books.
82,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,"[immoral_consequence] My ex's feelings are hurt, and he is unable to pay for the car note.",It's good to ask for money when you need it.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My ex didn't pay his car note and resents me for not paying the money.,It's okay to be upset when your ex doesn't have the decency to pay for something.
83,I (myself)'s emotion is happy.,I (myself)'s motivation is to gain knowledge.,[moral_consequence] I am able to get some information from the internet.,It's good to digest information.,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I can't get to know all the information.,It's good to digest information.
84,.,.,[immoral_consequence] The other people in the room are irritated by the laugh.,It's good to laugh at things.,.,.,[immoral_consequence] The other people in the house are irritated by the laugh.,It's good to laugh at things.
85,Meteors' emotion is happy.,Meteors' motivation is to be friendly.,[immoral_consequence] The meteors were unable to get to the ground and were unable to get to the ground.,It's good to be careful when you're a meteorologist.,Meteors' emotion is irritated.,Meteors' motivation is to be safe.,[immoral_consequence] The meteors swerved across the atmosphere and swerved.,It's good to be aware of the dangers of a meteor.
86,I (myself)'s emotion is annoyed.,.,[immoral_consequence] My neighbors are upset and irritated by the dog.,It's good to be respectful to your neighbors.,I (myself)'s emotion is scared.,.,[immoral_consequence] My neighbors are horrified that my dog is barking and aren't able to get away from me.,It's wrong to be pissed off by your neighbors dog.
87,Joe's emotion is angry.,Joe's motivation is to be helpful.,[immoral_consequence] Joe is upset that he's being fast.,It's good to be fast.,Joe's emotion is annoyed.,Joe's motivation is to be helpful.,[immoral_consequence] Joe is insulted by the molasses.,It's good to be honest with people.
88,.,.,[moral_consequence] You're able to enjoy the rest of your day.,It's good to have fun.,.,.,[immoral_consequence] You're unable to get to sleep and have to go to the hospital.,It's good to have fun.
89,Guy's emotion is happy.,Guy's motivation is to be helpful.,[immoral_consequence] The guy who bought the old house is unable to afford the new house.,It's good to buy a new home.,.,.,[immoral_consequence] The man who screams in the dilapidated house is unable to live in the house.,It's good to breathe new life into your home.
90,.,.,"[moral_consequence] ""I will feel uncomfortable and feel better."".",It's good to be honest with others.,.,.,"[immoral_consequence] ""The other people who bought the shoes will feel like they aren't able to get the shoes they wanted.",It's good to be honest with others.
91,You're a good person.,You're motivation is to be safe.,[immoral_consequence] You're a bit scared and scared of yourself.,It's good to smile.,You're embarrassed by the rage.,You're motivation is to be a sexy person.,[immoral_consequence] You get a ticket and get a ticket for a snobbish snobbish snobbish snobbish snobbish snobbish snobbish snobbish snobbish snobbish snobbish .,It's good to smile at people.
92,I (myself)'s emotion is curious.,I (myself)'s motivation is to see what was going on.,[immoral_consequence] My dog is unable to find the poop and is unable to find it.,It's good to be aware of your pets.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] My dog was happy and happy.,It's good to find poop that you have no idea about.
93,.,.,[immoral_consequence] The other party is not able to take any action.,It's good to take action when you're in a situation where you are not obligated to do something.,.,.,[immoral_consequence] The police are called and the police are called.,It's good to be able to walk.
94,.,.,[immoral_consequence] You're unable to get to work on your own.,It's good to be a good person.,.,.,[immoral_consequence] You're a bit slicker than a rock.,It's good to be careful when you're sharp.
95,The newcomer's emotion is sad.,The newcomer's motivation is to be respected.,[immoral_consequence] The newcomer is unable to speak to the public about the humiliation of the newcomer.,It's good to be supportive of your newcomers.,Newcomer's emotion is sad.,Newcomer's motivation is to be respectful.,[immoral_consequence] The newcomer's political newcomer is unable to speak to the congressman.,It's good to talk to people about their issues.
96,.,.,[immoral_consequence] The leaves get a little slurted and the leaves get swollen.,It's good to be careful when you're in the wind.,.,.,[immoral_consequence] The leaves are shattered and the wind is causing a rash.,It's good to be aware of the weather.
97,I (myself)'s emotion is disappointed.,Boss' motivation is to be helpful.,[immoral_consequence] My boss is offended and reprimands me for not getting the promotion.,It's good to be honest with your boss.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good boss.,[immoral_consequence] My boss is offended and reprimands me for not getting the promotion.,It's good to be proud of your boss.
98,.,.,[immoral_consequence] The police are called and the police are called to the police.,It's wrong to be a crime.,.,.,[immoral_consequence] The people who are grieving bodily harm are unable to understand the meaning of murder.,It's wrong to exclude people from the world.
99,I (myself)'s emotion is ruthless.,Lawyer's motivation is to be helpful.,[immoral_consequence] My lawyer is unable to help my client.,It's good to be a ruthless person.,Lawyer's emotion is apprehensive.,Lawyer's motivation is to be helpful.,[immoral_consequence] My lawyer is arrested for a crime.,It's good to seek help if needed.
100,Best friend's emotion is sad.,Best friend's motivation is to be loved.,[immoral_consequence] My best friend was unable to find a partner that was a good friend.,It's wrong to be mad at your friend.,Best friend's emotion is happy.,Best friend's motivation is to date a friend.,[immoral_consequence] My best friend's ex-girlfriend is hurt and resents me.,It's wrong to lie to your best friend.
101,I (myself)'s emotion is sad.,I (myself)'s motivation is to be honest.,[immoral_consequence] I am not able to believe that the truth is true.,It's wrong to lie to others.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good writer.,[immoral_consequence] I am unable to tell someone that isn't true.,It's good to tell stories.
102,.,.,[immoral_consequence] The avalanche wiped out the avalanche and destroyed the property.,It's good to protect things that stand in your way.,.,.,[immoral_consequence] The avalanche shattered the ground and shattered the ground.,It's good to be aware of the dangers of avalanche.
103,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to eat.,[immoral_consequence] I had to eat a lot of a steak that was rotten and rotten.,It's good to plan on cooking a steak.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to eat.,[immoral_consequence] I was so upset that my husband had to eat a steak that was rotten.,It's good to cook a steak for dinner.
104,Draupadi's emotion is happy.,Draupadi's motivation is to be a good photographer.,[immoral_consequence] Draupadi's eyes were very bright and draupadi was unable to see her.,It's good to have a beautiful eye.,Draupadi's emotion is happy.,Draupadi's motivation is to be a good artist.,[immoral_consequence] Draupadi's eyes were ruined.,It's good to have a tattoo.
105,.,.,[moral_consequence] The house was able to fit comfortably.,It's good to be proud of your home.,.,.,[immoral_consequence] The skyscraper was a little snoring and snoring and it was a little snoring.,It's good to be able to see things you like.
106,.,.,[moral_consequence] The match is a success and the team is able to win.,It's good to be able to maintain your energy.,.,.,"[immoral_consequence] The match is a bit too long, and he is unable to win.",It's good to have a good time.
107,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to get my pizza back and was late for the next day.,It's good to be late for your pizza.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to eat.,"[immoral_consequence] I was so hungry that the pizza didn't show up on time, and I was unable to get it.",It's good to wait an hour for something.
108,I (myself)'s emotion is excited.,I (myself)'s motivation is to go on a trip.,[immoral_consequence] I was unable to get home and had to go to the hospital.,It's good to take a trip on time.,I (myself)'s emotion is happy.,I (myself)'s motivation is to have fun.,[moral_consequence] I was able to enjoy the trip and feel the excitement of the trip.,It's good to be excited about your trip.
